Statistical profiling result from isolate-00000206CD5EB760-v8.log, (17389 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      4    0.0%    0.0%  Handler: next {279}
      4    0.0%    0.0%  Handler: next {205}
      4    0.0%    0.0%  Handler: next {159}
      4    0.0%    0.0%  Handler: cb {8}
      4    0.0%    0.0%  Handler: cb {12}
      3    0.0%    0.0%  Stub: RecordWriteStub {4}
      3    0.0%    0.0%  Stub: LoadFieldStub {1}
      3    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {7}
      3    0.0%    0.0%  Handler: reqConfig {4}
      3    0.0%    0.0%  Handler: next {5}
      3    0.0%    0.0%  Handler: next {558}
      3    0.0%    0.0%  Handler: next {552}
      3    0.0%    0.0%  Handler: next {543}
      3    0.0%    0.0%  Handler: next {521}
      3    0.0%    0.0%  Handler: next {493}
      3    0.0%    0.0%  Handler: next {458}
      3    0.0%    0.0%  Handler: next {456}
      3    0.0%    0.0%  Handler: next {429}
      3    0.0%    0.0%  Handler: next {330}
      3    0.0%    0.0%  Handler: next {303}
      3    0.0%    0.0%  Handler: next {295}
      3    0.0%    0.0%  Handler: next {114}
      3    0.0%    0.0%  Handler: emit {6}
      3    0.0%    0.0%  Handler: emit {23}
      3    0.0%    0.0%  Handler: emit {1}
      3    0.0%    0.0%  Handler: _chunks {1}
      2    0.0%    0.0%  Stub: ToBooleanICStub(Undefined,Bool,String)
      2    0.0%    0.0%  Stub: StoreGlobalStub {3}
      2    0.0%    0.0%  Stub: RecordWriteStub {2}
      2    0.0%    0.0%  Stub: RecordWriteStub {16}
      2    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {8}
      2    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {4}
      2    0.0%    0.0%  RegExp: .*[\\.\\/\\\\]
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {8}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {4}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {2}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {21}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {15}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {12}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {11}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {10}
      2    0.0%    0.0%  Handler: previewDuration {2}
      2    0.0%    0.0%  Handler: next {9}
      2    0.0%    0.0%  Handler: next {87}
      2    0.0%    0.0%  Handler: next {84}
      2    0.0%    0.0%  Handler: next {69}
      2    0.0%    0.0%  Handler: next {46}
      2    0.0%    0.0%  Handler: next {468}
      2    0.0%    0.0%  Handler: next {463}
      2    0.0%    0.0%  Handler: next {461}
      2    0.0%    0.0%  Handler: next {450}
      2    0.0%    0.0%  Handler: next {428}
      2    0.0%    0.0%  Handler: next {420}
      2    0.0%    0.0%  Handler: next {405}
      2    0.0%    0.0%  Handler: next {401}
      2    0.0%    0.0%  Handler: next {381}
      2    0.0%    0.0%  Handler: next {364}
      2    0.0%    0.0%  Handler: next {357}
      2    0.0%    0.0%  Handler: next {355}
      2    0.0%    0.0%  Handler: next {327}
      2    0.0%    0.0%  Handler: next {322}
      2    0.0%    0.0%  Handler: next {318}
      2    0.0%    0.0%  Handler: next {304}
      2    0.0%    0.0%  Handler: next {267}
      2    0.0%    0.0%  Handler: next {266}
      2    0.0%    0.0%  Handler: next {252}
      2    0.0%    0.0%  Handler: next {250}
      2    0.0%    0.0%  Handler: next {237}
      2    0.0%    0.0%  Handler: next {232}
      2    0.0%    0.0%  Handler: next {201}
      2    0.0%    0.0%  Handler: next {187}
      2    0.0%    0.0%  Handler: next {168}
      2    0.0%    0.0%  Handler: next {167}
      2    0.0%    0.0%  Handler: next {133}
      2    0.0%    0.0%  Handler: next {126}
      2    0.0%    0.0%  Handler: next {100}
      2    0.0%    0.0%  Handler: json
      2    0.0%    0.0%  Handler: indexOf {1}
      2    0.0%    0.0%  Handler: emit {5}
      2    0.0%    0.0%  Handler: emit {14}
      2    0.0%    0.0%  Handler: emit {10}
