Statistical profiling result from isolate-00000206CD5EB760-v8.log, (17389 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Handler: next {321}
      1    0.0%    0.0%  Handler: next {320}
      1    0.0%    0.0%  Handler: next {31}
      1    0.0%    0.0%  Handler: next {319}
      1    0.0%    0.0%  Handler: next {316}
      1    0.0%    0.0%  Handler: next {315}
      1    0.0%    0.0%  Handler: next {314}
      1    0.0%    0.0%  Handler: next {312}
      1    0.0%    0.0%  Handler: next {311}
      1    0.0%    0.0%  Handler: next {310}
      1    0.0%    0.0%  Handler: next {30}
      1    0.0%    0.0%  Handler: next {309}
      1    0.0%    0.0%  Handler: next {307}
      1    0.0%    0.0%  Handler: next {306}
      1    0.0%    0.0%  Handler: next {305}
      1    0.0%    0.0%  Handler: next {301}
      1    0.0%    0.0%  Handler: next {300}
      1    0.0%    0.0%  Handler: next {29}
      1    0.0%    0.0%  Handler: next {299}
      1    0.0%    0.0%  Handler: next {298}
      1    0.0%    0.0%  Handler: next {297}
      1    0.0%    0.0%  Handler: next {294}
      1    0.0%    0.0%  Handler: next {293}
      1    0.0%    0.0%  Handler: next {292}
      1    0.0%    0.0%  Handler: next {28}
      1    0.0%    0.0%  Handler: next {289}
      1    0.0%    0.0%  Handler: next {288}
      1    0.0%    0.0%  Handler: next {287}
      1    0.0%    0.0%  Handler: next {286}
      1    0.0%    0.0%  Handler: next {284}
      1    0.0%    0.0%  Handler: next {283}
      1    0.0%    0.0%  Handler: next {282}
      1    0.0%    0.0%  Handler: next {281}
      1    0.0%    0.0%  Handler: next {280}
      1    0.0%    0.0%  Handler: next {277}
      1    0.0%    0.0%  Handler: next {276}
      1    0.0%    0.0%  Handler: next {275}
      1    0.0%    0.0%  Handler: next {274}
      1    0.0%    0.0%  Handler: next {273}
      1    0.0%    0.0%  Handler: next {272}
      1    0.0%    0.0%  Handler: next {271}
      1    0.0%    0.0%  Handler: next {270}
      1    0.0%    0.0%  Handler: next {26}
      1    0.0%    0.0%  Handler: next {269}
      1    0.0%    0.0%  Handler: next {268}
      1    0.0%    0.0%  Handler: next {265}
      1    0.0%    0.0%  Handler: next {264}
      1    0.0%    0.0%  Handler: next {263}
      1    0.0%    0.0%  Handler: next {261}
      1    0.0%    0.0%  Handler: next {260}
      1    0.0%    0.0%  Handler: next {25}
      1    0.0%    0.0%  Handler: next {259}
      1    0.0%    0.0%  Handler: next {258}
      1    0.0%    0.0%  Handler: next {257}
      1    0.0%    0.0%  Handler: next {254}
      1    0.0%    0.0%  Handler: next {253}
      1    0.0%    0.0%  Handler: next {24}
      1    0.0%    0.0%  Handler: next {249}
      1    0.0%    0.0%  Handler: next {248}
      1    0.0%    0.0%  Handler: next {247}
      1    0.0%    0.0%  Handler: next {245}
      1    0.0%    0.0%  Handler: next {244}
      1    0.0%    0.0%  Handler: next {242}
      1    0.0%    0.0%  Handler: next {241}
      1    0.0%    0.0%  Handler: next {240}
      1    0.0%    0.0%  Handler: next {23}
      1    0.0%    0.0%  Handler: next {239}
      1    0.0%    0.0%  Handler: next {238}
      1    0.0%    0.0%  Handler: next {236}
      1    0.0%    0.0%  Handler: next {235}
      1    0.0%    0.0%  Handler: next {234}
      1    0.0%    0.0%  Handler: next {231}
      1    0.0%    0.0%  Handler: next {230}
      1    0.0%    0.0%  Handler: next {22}
      1    0.0%    0.0%  Handler: next {229}
      1    0.0%    0.0%  Handler: next {228}
      1    0.0%    0.0%  Handler: next {227}
      1    0.0%    0.0%  Handler: next {225}
      1    0.0%    0.0%  Handler: next {224}
      1    0.0%    0.0%  Handler: next {222}
      1    0.0%    0.0%  Handler: next {221}
      1    0.0%    0.0%  Handler: next {220}
      1    0.0%    0.0%  Handler: next {21}
      1    0.0%    0.0%  Handler: next {217}
      1    0.0%    0.0%  Handler: next {216}
      1    0.0%    0.0%  Handler: next {215}
      1    0.0%    0.0%  Handler: next {214}
      1    0.0%    0.0%  Handler: next {213}
      1    0.0%    0.0%  Handler: next {212}
      1    0.0%    0.0%  Handler: next {210}
      1    0.0%    0.0%  Handler: next {20}
      1    0.0%    0.0%  Handler: next {209}
      1    0.0%    0.0%  Handler: next {208}
      1    0.0%    0.0%  Handler: next {206}
      1    0.0%    0.0%  Handler: next {204}
      1    0.0%    0.0%  Handler: next {203}
      1    0.0%    0.0%  Handler: next {202}
      1    0.0%    0.0%  Handler: next {200}
      1    0.0%    0.0%  Handler: next {1}
      1    0.0%    0.0%  Handler: next {19}
      1    0.0%    0.0%  Handler: next {199}
      1    0.0%    0.0%  Handler: next {198}
      1    0.0%    0.0%  Handler: next {197}
      1    0.0%    0.0%  Handler: next {196}
      1    0.0%    0.0%  Handler: next {193}
      1    0.0%    0.0%  Handler: next {192}
      1    0.0%    0.0%  Handler: next {191}
      1    0.0%    0.0%  Handler: next {190}
      1    0.0%    0.0%  Handler: next {18}
      1    0.0%    0.0%  Handler: next {189}
      1    0.0%    0.0%  Handler: next {188}
      1    0.0%    0.0%  Handler: next {184}
      1    0.0%    0.0%  Handler: next {183}
      1    0.0%    0.0%  Handler: next {182}
      1    0.0%    0.0%  Handler: next {181}
      1    0.0%    0.0%  Handler: next {180}
      1    0.0%    0.0%  Handler: next {179}
      1    0.0%    0.0%  Handler: next {178}
      1    0.0%    0.0%  Handler: next {177}
      1    0.0%    0.0%  Handler: next {176}
      1    0.0%    0.0%  Handler: next {175}
      1    0.0%    0.0%  Handler: next {173}
      1    0.0%    0.0%  Handler: next {172}
      1    0.0%    0.0%  Handler: next {171}
      1    0.0%    0.0%  Handler: next {170}
      1    0.0%    0.0%  Handler: next {169}
      1    0.0%    0.0%  Handler: next {166}
      1    0.0%    0.0%  Handler: next {165}
      1    0.0%    0.0%  Handler: next {164}
      1    0.0%    0.0%  Handler: next {163}
      1    0.0%    0.0%  Handler: next {162}
      1    0.0%    0.0%  Handler: next {161}
      1    0.0%    0.0%  Handler: next {160}
      1    0.0%    0.0%  Handler: next {15}
      1    0.0%    0.0%  Handler: next {158}
      1    0.0%    0.0%  Handler: next {157}
      1    0.0%    0.0%  Handler: next {155}
      1    0.0%    0.0%  Handler: next {154}
      1    0.0%    0.0%  Handler: next {153}
      1    0.0%    0.0%  Handler: next {152}
      1    0.0%    0.0%  Handler: next {151}
      1    0.0%    0.0%  Handler: next {150}
      1    0.0%    0.0%  Handler: next {14}
      1    0.0%    0.0%  Handler: next {148}
      1    0.0%    0.0%  Handler: next {147}
      1    0.0%    0.0%  Handler: next {146}
      1    0.0%    0.0%  Handler: next {145}
      1    0.0%    0.0%  Handler: next {144}
      1    0.0%    0.0%  Handler: next {143}
      1    0.0%    0.0%  Handler: next {142}
      1    0.0%    0.0%  Handler: next {141}
      1    0.0%    0.0%  Handler: next {140}
      1    0.0%    0.0%  Handler: next {13}
      1    0.0%    0.0%  Handler: next {138}
      1    0.0%    0.0%  Handler: next {137}
      1    0.0%    0.0%  Handler: next {136}
      1    0.0%    0.0%  Handler: next {135}
      1    0.0%    0.0%  Handler: next {134}
      1    0.0%    0.0%  Handler: next {132}
      1    0.0%    0.0%  Handler: next {131}
      1    0.0%    0.0%  Handler: next {130}
      1    0.0%    0.0%  Handler: next {12}
      1    0.0%    0.0%  Handler: next {128}
      1    0.0%    0.0%  Handler: next {127}
      1    0.0%    0.0%  Handler: next {125}
      1    0.0%    0.0%  Handler: next {123}
      1    0.0%    0.0%  Handler: next {122}
      1    0.0%    0.0%  Handler: next {121}
      1    0.0%    0.0%  Handler: next {120}
      1    0.0%    0.0%  Handler: next {11}
      1    0.0%    0.0%  Handler: next {119}
      1    0.0%    0.0%  Handler: next {117}
      1    0.0%    0.0%  Handler: next {116}
      1    0.0%    0.0%  Handler: next {115}
      1    0.0%    0.0%  Handler: next {113}
      1    0.0%    0.0%  Handler: next {112}
      1    0.0%    0.0%  Handler: next {111}
      1    0.0%    0.0%  Handler: next {110}
      1    0.0%    0.0%  Handler: next {10}
      1    0.0%    0.0%  Handler: next {108}
      1    0.0%    0.0%  Handler: next {107}
      1    0.0%    0.0%  Handler: next {106}
      1    0.0%    0.0%  Handler: next {105}
      1    0.0%    0.0%  Handler: next {104}
      1    0.0%    0.0%  Handler: next {103}
      1    0.0%    0.0%  Handler: next {102}
      1    0.0%    0.0%  Handler: next {101}
      1    0.0%    0.0%  Handler: next
      1    0.0%    0.0%  Handler: maxPreNid
      1    0.0%    0.0%  Handler: log {1}
      1    0.0%    0.0%  Handler: log
      1    0.0%    0.0%  Handler: length
      1    0.0%    0.0%  Handler: json {6}
      1    0.0%    0.0%  Handler: json {5}
      1    0.0%    0.0%  Handler: json {4}
      1    0.0%    0.0%  Handler: json {2}
      1    0.0%    0.0%  Handler: json {1}
      1    0.0%    0.0%  Handler: indexOf
      1    0.0%    0.0%  Handler: handle
      1    0.0%    0.0%  Handler: free
      1    0.0%    0.0%  Handler: exports.getVocabByTid C:\Users\Shawn\Documents\jspractice\gaia\app\vid_utils\index.js:23:33
      1    0.0%    0.0%  Handler: exports.getTermsByTid C:\Users\Shawn\Documents\jspractice\gaia\app\vid_utils\index.js:36:33
      1    0.0%    0.0%  Handler: emit {9}
      1    0.0%    0.0%  Handler: emit {8}
      1    0.0%    0.0%  Handler: emit {7}
      1    0.0%    0.0%  Handler: emit {34}
      1    0.0%    0.0%  Handler: emit {33}
      1    0.0%    0.0%  Handler: emit {32}
      1    0.0%    0.0%  Handler: emit {31}
      1    0.0%    0.0%  Handler: emit {30}
      1    0.0%    0.0%  Handler: emit {29}
      1    0.0%    0.0%  Handler: emit {28}
      1    0.0%    0.0%  Handler: emit {27}
      1    0.0%    0.0%  Handler: emit {26}
      1    0.0%    0.0%  Handler: emit {25}
      1    0.0%    0.0%  Handler: emit {24}
      1    0.0%    0.0%  Handler: emit {22}
      1    0.0%    0.0%  Handler: emit {21}
      1    0.0%    0.0%  Handler: emit {20}
      1    0.0%    0.0%  Handler: emit {19}
      1    0.0%    0.0%  Handler: emit {18}
      1    0.0%    0.0%  Handler: emit {16}
      1    0.0%    0.0%  Handler: emit {15}
      1    0.0%    0.0%  Handler: emit {13}
      1    0.0%    0.0%  Handler: emit {12}
      1    0.0%    0.0%  Handler: emit {11}
      1    0.0%    0.0%  Handler: emit
      1    0.0%    0.0%  Handler: domain
      1    0.0%    0.0%  Handler: debug
      1    0.0%    0.0%  Handler: constructor$ {3}
      1    0.0%    0.0%  Handler: constructor$ {2}
      1    0.0%    0.0%  Handler: constructor$ {1}
      1    0.0%    0.0%  Handler: constructor$
      1    0.0%    0.0%  Handler: closeRe
      1    0.0%    0.0%  Handler: cb {9}
      1    0.0%    0.0%  Handler: cb {7}
      1    0.0%    0.0%  Handler: cb {6}
      1    0.0%    0.0%  Handler: cb {5}
      1    0.0%    0.0%  Handler: cb {4}
      1    0.0%    0.0%  Handler: cb {2}
      1    0.0%    0.0%  Handler: cb {11}
      1    0.0%    0.0%  Handler: cb {10}
      1    0.0%    0.0%  Handler: cb
      1    0.0%    0.0%  Handler: catch {3}
      1    0.0%    0.0%  Handler: catch {2}
      1    0.0%    0.0%  Handler: catch {1}
      1    0.0%    0.0%  Handler: catch
      1    0.0%    0.0%  Handler: call
      1    0.0%    0.0%  Handler: cache
      1    0.0%    0.0%  Handler: buffer
      1    0.0%    0.0%  Handler: blocks
      1    0.0%    0.0%  Handler: bcHLS
      1    0.0%    0.0%  Handler: assert
      1    0.0%    0.0%  Handler: arrayLimit
      1    0.0%    0.0%  Handler: apply {2}
      1    0.0%    0.0%  Handler: apply
      1    0.0%    0.0%  Handler: application/atomsvc+xml
      1    0.0%    0.0%  Handler: application/atom+xml
      1    0.0%    0.0%  Handler: all
      1    0.0%    0.0%  Handler: _setLength
      1    0.0%    0.0%  Handler: _front
      1    0.0%    0.0%  Handler: _events
      1    0.0%    0.0%  Handler: _chunks {4}
      1    0.0%    0.0%  Handler: _chunks {3}
      1    0.0%    0.0%  Handler: _chunks {2}
      1    0.0%    0.0%  Handler: _chunks
      1    0.0%    0.0%  Handler: __proto__ {NaN}
      1    0.0%    0.0%  Handler: Sequence
      1    0.0%    0.0%  Handler: Logger.log C:\Users\Shawn\Documents\jspractice\gaia\node_modules\winston\lib\winston\logger.js:109:33
      1    0.0%    0.0%  Handler: Accept-Charset
      1    0.0%    0.0%  Handler: 1.2.840.10045.4.3.4
      1    0.0%    0.0%  Handler: 0.9.2342.19200300.100.1.3
      1    0.0%    0.0%  Handler:  {1}
      1    0.0%    0.0%  Handler:  C:\Users\Shawn\Documents\jspractice\gaia\node_modules\winston\lib\winston\logger.js:58:41

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
  17343   99.7%   99.7%  JavaScript
      0    0.0%    0.0%  C++
     85    0.5%    0.5%  GC
      0    0.0%          Shared libraries
     46    0.3%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 2.0% are not shown.

   ticks parent  name
  12765   73.4%  Handler: free {1}

   1726    9.9%  Handler: args

